species,n_cells_n128,local_ext_2020s_n128,local_ext_2030s_n128,n_cells_n64,local_ext_2020s_n64,local_ext_2030s_n64,low_N_warning_n128
Acanthodactylus boskianus,1,0.0,0.0,1,0.0,0.0,True
Acanthodactylus erythrurus,145,0.05241379310344828,0.04,52,0.028846153846153848,0.01730769230769231,False
Algyroides marchi,8,0.05,0.05,3,0.0,0.0,True
Australolacerta australis,1,0.0,0.0,1,0.0,0.0,True
Dormaalisaurus girardoti,1,0.0,0.0,1,0.0,0.0,True
Dormaalisaurus rossmanni,1,0.0,0.0,1,0.0,0.0,True
Gallotia atlantica,1,0.0,0.0,1,0.0,0.0,True
Gallotia caesaris,1,0.0,0.0,1,0.0,0.0,True
Gallotia galloti,2,0.0,0.0,2,0.0,0.0,True
Gallotia stehlini,1,0.0,0.0,1,0.0,0.0,True
Gracilicerta sindexi,1,0.0,0.0,1,0.0,0.0,True
Iberolacerta aranica,4,0.0,0.0,1,0.0,0.0,True
Iberolacerta aurelioi,5,0.0,0.0,4,0.0,0.0,True
Iberolacerta bonnali,7,0.0,0.0,4,0.0,0.0,True
Iberolacerta cyreni,13,0.04615384615384615,0.04615384615384615,7,0.028571428571428574,0.028571428571428574,False
Iberolacerta galani,3,0.0,0.0,2,0.0,0.0,True
Iberolacerta martinezricai,2,0.0,0.0,1,0.0,0.0,True
Iberolacerta monticola,38,0.007894736842105263,0.007894736842105263,18,0.011111111111111112,0.011111111111111112,False
Lacerta,3,0.0,0.0,3,0.0,0.0,True
Lacerta agilis,13,0.0,0.0,9,0.0,0.0,False
Lacerta bilineata,56,0.0,0.0,23,0.0,0.0,False
Lacerta schreiberi,78,0.0358974358974359,0.030769230769230767,29,0.027586206896551727,0.017241379310344827,False
Lacerta viridis,16,0.0,0.0,11,0.0,0.0,False
Mesalina olivieri,1,0.0,0.0,1,0.0,0.0,True
Podarcis bocagei,39,0.007692307692307692,0.005128205128205128,16,0.0125,0.0125,False
Podarcis carbonelli,10,0.05,0.05,6,0.03333333333333333,0.03333333333333333,False
Podarcis galerai,1,0.0,0.0,1,0.0,0.0,True
Podarcis guadarramae,44,0.03863636363636364,0.03409090909090909,19,0.02631578947368421,0.021052631578947368,False
Podarcis hispanicus,229,0.04061135371179039,0.03275109170305677,70,0.02142857142857143,0.012857142857142859,False
Podarcis lilfordi,11,0.0,0.0,7,0.0,0.0,False
Podarcis liolepis,106,0.0037735849056603774,0.0009433962264150943,39,0.0,0.0,False
Podarcis melisellensis,1,0.0,0.0,1,0.0,0.0,True
Podarcis muralis,99,0.010101010101010102,0.009090909090909092,40,0.0125,0.01,False
Podarcis pityusensis,18,0.0,0.0,12,0.0,0.0,False
Podarcis siculus,12,0.0,0.0,10,0.0,0.0,False
Podarcis vaucheri,41,0.08048780487804878,0.06097560975609756,18,0.03333333333333334,0.022222222222222223,False
Podarcis virescens,63,0.1126984126984127,0.09365079365079365,24,0.0625,0.0375,False
Psammodromus algirus,219,0.042922374429223746,0.034703196347031964,71,0.021126760563380285,0.012676056338028168,False
Psammodromus blanci,1,0.0,0.0,1,0.0,0.0,True
Psammodromus edwarsianus,68,0.004411764705882354,0.0029411764705882353,28,0.0,0.0,False
Psammodromus hispanicus,189,0.04920634920634921,0.03968253968253968,60,0.025,0.015000000000000003,False
Psammodromus occidentalis,49,0.11224489795918367,0.0959183673469388,22,0.05909090909090909,0.040909090909090916,False
Scelarcis perspicillata,3,0.0,0.0,2,0.0,0.0,True
Timon lepidus,229,0.04104803493449781,0.03318777292576419,69,0.021739130434782608,0.013043478260869566,False
Timon nevadensis,43,0.002325581395348837,0.004651162790697674,19,0.0,0.0,False
Timon tangitanus,1,0.0,0.0,1,0.0,0.0,True
Zootoca vivipara,43,0.0,0.0,20,0.0,0.0,False
